,box,angry,disgust,fear,happy,sad,surprise,neutral
249,[ 87  70 145 145],0.07,0.0,0.28,0.0,0.59,0.0,0.05
250,[ 89  72 141 141],0.05,0.03,0.23,0.0,0.65,0.0,0.04
251,[ 88  70 145 145],0.06,0.0,0.28,0.0,0.58,0.0,0.07
252,[ 89  71 142 142],0.07,0.0,0.36,0.0,0.48,0.01,0.07
253,[ 88  70 143 143],0.07,0.0,0.29,0.0,0.53,0.01,0.09
254,[ 88  70 141 141],0.09,0.0,0.29,0.0,0.51,0.01,0.1
255,[ 86  69 144 144],0.1,0.0,0.27,0.0,0.44,0.01,0.18
256,[ 84  67 146 146],0.06,0.0,0.27,0.0,0.48,0.01,0.17
257,[ 85  68 145 145],0.09,0.0,0.18,0.0,0.49,0.0,0.22
258,[ 85  67 145 145],0.1,0.0,0.28,0.0,0.43,0.01,0.18
259,[ 86  67 144 144],0.15,0.0,0.26,0.0,0.49,0.01,0.1
260,[ 87  68 142 142],0.15,0.0,0.26,0.0,0.48,0.0,0.1
261,[ 88  67 141 141],0.1,0.0,0.32,0.0,0.42,0.01,0.15
262,[ 88  67 141 141],0.12,0.0,0.4,0.0,0.43,0.0,0.05
263,[ 90  66 140 140],0.07,0.0,0.27,0.0,0.61,0.0,0.04
264,[ 89  65 141 141],0.08,0.0,0.35,0.0,0.51,0.0,0.05
265,[ 89  66 141 141],0.11,0.0,0.39,0.0,0.47,0.0,0.03
266,[ 89  66 139 139],0.1,0.0,0.43,0.0,0.37,0.0,0.09
267,[ 89  66 138 138],0.1,0.0,0.43,0.0,0.4,0.0,0.07
268,[ 87  64 143 143],0.14,0.0,0.31,0.0,0.48,0.0,0.06
269,[ 87  64 143 143],0.16,0.0,0.32,0.0,0.46,0.01,0.05
270,[ 88  64 141 141],0.11,0.0,0.44,0.0,0.38,0.01,0.07
271,[ 87  64 141 141],0.11,0.0,0.36,0.0,0.49,0.0,0.03
272,[ 88  62 140 140],0.14,0.0,0.44,0.0,0.33,0.01,0.08
273,[ 88  62 141 141],0.19,0.0,0.45,0.0,0.33,0.01,0.02
274,[ 88  60 140 140],0.17,0.0,0.44,0.0,0.34,0.01,0.04
275,[ 91  58 134 134],0.17,0.0,0.42,0.01,0.36,0.01,0.03
276,[ 91  55 135 135],0.13,0.0,0.47,0.0,0.35,0.02,0.02
277,[ 95  53 129 129],0.14,0.0,0.42,0.0,0.4,0.01,0.04
278,[ 94  49 133 133],0.57,0.0,0.1,0.0,0.28,0.01,0.04
279,[ 96  46 127 127],0.33,0.0,0.17,0.01,0.41,0.0,0.07
280,[ 96  41 129 129],0.28,0.0,0.06,0.01,0.61,0.0,0.03
281,[ 97  39 124 124],0.08,0.0,0.11,0.03,0.76,0.0,0.02
282,[ 98  34 125 125],0.08,0.0,0.1,0.02,0.79,0.01,0.01
283,[ 99  36 119 119],0.18,0.0,0.19,0.01,0.59,0.02,0.01
284,[ 98  36 124 124],0.17,0.0,0.2,0.02,0.41,0.01,0.18
285,[ 97  33 125 125],0.14,0.0,0.16,0.04,0.4,0.02,0.24
286,[ 97  32 126 126],0.3,0.0,0.16,0.04,0.36,0.01,0.14
287,[100  35 121 121],0.33,0.0,0.1,0.05,0.42,0.01,0.08
288,[102  35 118 118],0.4,0.0,0.13,0.03,0.31,0.05,0.08
289,[102  33 121 121],0.17,0.0,0.23,0.34,0.12,0.08,0.06
290,[106  33 115 115],0.09,0.0,0.27,0.21,0.27,0.04,0.12
291,[106  34 115 115],0.11,0.0,0.09,0.45,0.19,0.04,0.13
292,[107  36 111 111],0.18,0.0,0.18,0.13,0.31,0.04,0.15
293,[110  39 108 108],0.16,0.0,0.21,0.1,0.29,0.04,0.21
294,[113  41 104 104],0.15,0.0,0.18,0.07,0.5,0.01,0.09
295,[117  45  97  97],0.33,0.0,0.15,0.03,0.29,0.01,0.19
296,[117  45  96  96],0.35,0.0,0.21,0.07,0.26,0.02,0.1
297,[117  47  98  98],0.16,0.0,0.17,0.13,0.33,0.01,0.2
298,[118  49  97  97],0.17,0.0,0.14,0.13,0.36,0.02,0.19
299,[120  51  95  95],0.27,0.0,0.17,0.14,0.31,0.01,0.11
300,[119  53  98  98],0.05,0.0,0.03,0.66,0.09,0.04,0.12
301,[122  56  94  94],0.15,0.0,0.02,0.39,0.09,0.01,0.33
302,[122  57  93  93],0.14,0.0,0.04,0.1,0.21,0.03,0.48
303,[123  58  92  92],0.24,0.0,0.06,0.18,0.13,0.02,0.36
304,[124  60  89  89],0.14,0.0,0.04,0.37,0.12,0.02,0.3
305,[122  60  90  90],0.13,0.0,0.02,0.35,0.11,0.03,0.36
306,[123  59  94  94],0.06,0.0,0.03,0.31,0.09,0.05,0.47
307,[121  58  95  95],0.03,0.0,0.05,0.31,0.18,0.08,0.36
308,[120  58  96  96],0.06,0.0,0.04,0.2,0.09,0.12,0.48
309,[121  59  92  92],0.03,0.0,0.05,0.24,0.17,0.13,0.37
310,[121  59  91  91],0.07,0.0,0.09,0.11,0.2,0.19,0.34
311,[122  61  88  88],0.06,0.0,0.09,0.19,0.19,0.08,0.39
312,[122  62  86  86],0.08,0.0,0.1,0.05,0.3,0.09,0.37
313,[118  64  84  84],0.19,0.0,0.06,0.02,0.21,0.02,0.49
314,[115  64  86  86],0.23,0.0,0.06,0.02,0.24,0.03,0.44
315,[111  63  93  93],0.04,0.0,0.11,0.15,0.1,0.29,0.31
316,[109  63  91  91],0.04,0.0,0.21,0.16,0.16,0.15,0.29
317,[107  63  89  89],0.07,0.0,0.19,0.1,0.22,0.21,0.2
318,[105  67  84  84],0.13,0.0,0.26,0.05,0.33,0.03,0.2
319,[104  66  85  85],0.12,0.0,0.15,0.16,0.28,0.03,0.27
320,[102  64  87  87],0.17,0.0,0.07,0.25,0.17,0.03,0.31
321,[101  62  88  88],0.14,0.0,0.07,0.14,0.15,0.02,0.47
322,[99 63 86 86],0.28,0.0,0.07,0.07,0.15,0.01,0.4
323,[97 62 87 87],0.28,0.0,0.07,0.04,0.16,0.01,0.43
324,[97 62 87 87],0.28,0.0,0.07,0.04,0.16,0.01,0.43
325,[93 59 93 93],0.25,0.0,0.1,0.05,0.21,0.02,0.38
326,[91 59 95 95],0.11,0.0,0.27,0.06,0.27,0.06,0.23
327,[89 58 96 96],0.07,0.0,0.44,0.01,0.26,0.05,0.18
328,[87 58 99 99],0.05,0.0,0.38,0.01,0.39,0.04,0.15
329,[87 58 99 99],0.06,0.0,0.41,0.01,0.33,0.03,0.16
330,[87 59 99 99],0.07,0.0,0.28,0.01,0.29,0.01,0.34
331,[ 87  59 101 101],0.07,0.0,0.14,0.02,0.27,0.0,0.49
332,[ 90  58 102 102],0.15,0.01,0.2,0.02,0.28,0.0,0.35
333,[ 90  57 106 106],0.09,0.0,0.46,0.04,0.38,0.02,0.02
334,[ 90  56 110 110],0.24,0.0,0.27,0.04,0.34,0.1,0.01
335,[100  55 101 101],0.16,0.0,0.35,0.23,0.22,0.03,0.02
336,[ 96  48 113 113],0.12,0.0,0.24,0.17,0.42,0.05,0.01
337,[100  55 109 109],0.06,0.0,0.06,0.65,0.2,0.02,0.01
338,[ 99  53 109 109],0.0,0.0,0.01,0.96,0.02,0.0,0.01
339,[100  52 110 110],0.0,0.0,0.0,0.95,0.02,0.0,0.02
340,[ 99  51 111 111],0.01,0.0,0.01,0.92,0.04,0.0,0.02
