id,name
698,CIAMPOLILLO Lello
699,CIOFFI Andrea
732,DI PIAZZA Stanislao
722,DE PETRIS Loredana
427,PAGANO ALESSANDRO SARO ALFONSO
428,PAGANO Ubaldo
726,DELL'OLIO Gianmauro
406,NANNI Iolanda
707,CORRADO Margherita
709,CRIMI Vito Claudio
751,FERRERO Roberta
713,D'ALFONSO Luciano
706,CORBETTA Gianmarco
149,COSTA Enrico
151,COVOLO Silvia
153,CRIPPA Davide
708,CRAXI Stefania Gabriella Anastasia
417,OCCHIONERO Giuseppina
746,FEDELI Valeria
749,FERRARI Alan
724,DE SIANO Domenico
424,OSNATO Marco
711,CRUCIOLI Mattia
715,D'ARIENZO Vincenzo
762,GARRUTI Vincenzo
155,CRITELLI Francesco
420,ORFINI Matteo
731,DI NICOLA Primo
723,DE POLI Antonio
774,GRASSI Ugo
733,DONNO Daniela
784,LA RUSSA Ignazio
435,PAOLINI Luca Rodolfo
458,PICCOLI NARDELLI Flavia
755,FREGOLENT Sonia
767,GIAMMANCO Gabriella
433,PALMISANO Valentina
776,GRIMANI Leonardo
801,MALAN Lucio
434,PANIZZUT Massimiliano
779,IORI Vanna
763,GASPARRI Maurizio
475,QUARTAPELLE PROCOPIO Lia
806,MANTERO Matteo
439,PAROLO Ugo
807,MANTOVANI Maria Laura
770,GINETTI Nadia
454,PETTAZZI Lino
764,GAUDIANO Felicia
813,MARINO Mauro Maria
769,GIARRUSSO Mario Michele
773,GRANATO Bianca Laura
480,RAFFAELLI Elena
817,Masini Barbara
777,GUIDOLIN Barbara
798,MAFFONI Gianpietro
459,PIGNATONE Dedalo Cosimo Gaetano
789,LAUS Mauro Antonio Donato
460,PINI Giuditta
178,DE FILIPPO Vito
462,PIZZETTI Luciano
447,PELLICANI Nicola
465,POLLASTRINI BARBARA MARIA SIMONETTA
487,RIZZETTO Walter
793,LOMUTI Arnaldo
786,LANIECE Albert
794,LONARDO Alessandrina
489,RIZZO NERVO Luca
799,MAGORNO Ernesto
180,DE GIROLAMO Carlo Ugo
461,PITTALIS Pietro
795,LOREFICE Pietro
478,RADUZZI Raphael
467,PORCHIETTO Claudia
800,Maiorino Alessandra
815,MARTELLI Carlo
825,MIRABELLI Franco
827,MODENA Fiammetta
472,PRETTO Erik Umberto
809,MARGIOTTA Salvatore
822,MESSINA Assuntela
829,MOLLAME Francesco
187,DE MICHELI Paola
828,MOLES Giuseppe
515,SANGREGORIO Eugenio
845,OSTELLARI Andrea
833,MORONESE Vilma
823,MININNO Cataldo
836,NAPOLITANO Giorgio
195,DEL RE Emanuela Claudia
491,ROMANIELLO Cristian
866,PIARULLI Angela Anna Bruna
508,RUOCCO Carla
495,ROSPI Gianluca
510,RUSSO Paolo
868,PILLON Simone
201,DI LAURO Carmen
498,ROSSINI Emanuela
520,SARTI Giulia
875,PITTONI Mario
206,DI SARNO Gianfranco
208,DI STEFANO Manlio
881,QUARTO Ruggiero
851,PAROLI Adriano
870,PIROVANO Daisy
852,PARRINI Dario
854,PATUANELLI Stefano
530,SCOMA Francesco
211,DONNO Leonardo
567,TATEO Anna Rita
521,SASSO Rossano
523,SAVINO Sandra
545,SIRACUSANO Matilde
864,PIANASSO Cesare
528,SCHIRO' Angela
886,RICCIARDI Sabrina
574,TOFALO Angelo
887,RICHETTI Matteo
533,SEGNERI Enrica
888,RIPAMONTI Paolo
889,RIVOLTA Erica
890,RIZZOTTI Maria
892,ROMAGNOLI Sergio
917,SIRI Armando
556,SPESSOTTO Arianna
876,PIZZOL Nadia
878,PUCCIARELLI Stefania
896,RONZULLI Licia
219,ERMINI David
923,STEGER Dieter
880,QUAGLIARIELLO Gaetano
928,TESTOR Elena
903,SACCONE Antonio
908,SAVIANE Paolo
932,TOSATO Paolo
913,SEGRE Liliana
568,TERMINI Guia
553,SPADONI Maria Edera
600,VARRICA Adriano
915,SICLARI Marco
898,ROSSOMANDO Anna
603,VERSACE Giuseppina
606,VIGNAROLI Stefano
906,SANTILLO Agostino
930,TOFFANIN Roberta
607,VILLANI Virginia
910,SBROLLINI Daniela
947,VONO Gelsomina
230,FERRAIOLI Marzia
914,SERAFINI Giancarlo
938,URSO Adolfo
933,TOTARO Achille
583,TRAVERSI Roberto
231,FERRARESI Vittorio
956,GUALTIERI Roberto
934,TRENTACOSTE Fabrizio
969,CORTI Stefano
942,VANIN Orietta
944,VERDUCCI Francesco
620,ZANGRILLO Paolo
590,TURRI Roberto
623,ZARDINI Diego
929,TIRABOSCHI Maria Virginia
594,VALBUSA Vania
575,TOMASI Maura
953,BALDINI Maria Teresa
580,TORTO Daniela
955,GIANNETTA Domenico
958,LUCENTINI Mauro
